File,Adult Toys,Air crash,Alcohol,Alcoholic Beverages,Barechested Male,Corpses,Drinking,Drug Paraphernalia,Drug Products,Drug Use,Drugs,Emaciated Bodies,Explicit Nudity,Explosions and blasts,Extremist,Female Swimwear Or Underwear,Gambling,Graphic Female Nudity,Graphic Male Nudity,Graphic Violence Or Gore,Hanging,Hate Symbols,Illustrated Explicit Nudity,Male Swimwear Or Underwear,Middle Finger,Nazi Party,Nudity,Partial Nudity,Physical Violence,Pills,Revealing Clothes,Rude Gestures,Self Injury,Sexual Activity,Sexual Situations,Smoking,Suggestive,Tobacco,Tobacco Products,Violence,Visually Disturbing,Weapon Violence,Weapons,White Supremacy
/Users/timomiessen/Desktop/imagesdk/nonblackwomen1/NBW_274.jpg,0.008794000372290611,0.002756000030785799,0.012738999910652637,0.012738999910652637,0.03813299909234047,0.001832999987527728,0.006821000017225742,0.005497000180184841,0.001986999996006489,0.000826000003144145,0.005497000180184841,1.0612560510635376,0.11465100198984146,0.000375000003259629,0.0001740000006975606,11.885899543762207,0.00027200000477023423,0.006167999934405088,0.0031049998942762613,0.0006309999735094607,0.004038000013679266,0.012310000136494637,0.11465100198984146,0.0476670004427433,0.001787999994121492,0.012310000136494637,0.03620700165629387,0.05286699905991554,0.0017610000213608146,0.00017600000137463212,81.03099822998047,0.001787999994121492,0.006821999792009592,0.08422300219535828,0.0004330000083427876,0.008496999740600586,81.03099822998047,0.008496999740600586,0.0047889999113976955,0.006821999792009592,1.0612560510635376,0.0008019999950192869,0.00046099998871795833,0.0008410000009462237
/Users/timomiessen/Desktop/imagesdk/nonblackwomen1/NBW_258.jpg,0.0006120000034570694,0.00045900000259280205,0.004246000200510025,0.004246000200510025,0.0030330000445246696,0.0,0.0022070000413805246,0.0009619999909773469,0.0017030000453814864,0.0,0.0017030000453814864,0.000307999987853691,0.0061079999431967735,0.0,0.0,0.032499998807907104,0.0,0.00023700000019744039,0.0,0.0,0.0,0.0009200000204145908,0.0061079999431967735,0.0004330000083427876,0.0002680000034160912,0.0009200000204145908,0.0017239999724552035,0.0008670000243000686,0.00031999999191612005,8.800000068731606e-05,0.008852999657392502,0.0002680000034160912,0.0001900000061141327,0.003746999893337488,0.0004330000083427876,0.007646999787539244,0.032499998807907104,0.007646999787539244,0.0011399999493733048,0.0003209999995306134,0.00045900000259280205,0.0003209999995306134,0.00030700000934302807,7.599999662488699e-05
/Users/timomiessen/Desktop/imagesdk/nonblackwomen1/NBW_270.jpg,0.0016820000018924475,0.00045900000259280205,0.020741000771522522,0.020741000771522522,0.19716699421405792,0.0010779999429360032,0.008426000364124775,0.004397000186145306,0.006434000097215176,0.0005510000046342611,0.006434000097215176,0.03327000141143799,0.04871099814772606,0.0009369999752379954,0.0002610000083222985,6.776899814605713,0.00018200000340584666,0.0021349999587982893,0.0014489999739453197,0.0012619999470189214,0.00038499999209307134,0.00471699982881546,0.04871099814772606,0.037700001150369644,0.005007000174373388,0.00471699982881546,0.005690000019967556,0.053300000727176666,0.002561999950557947,0.00026500000967644155,2.6531178951263428,0.005007000174373388,0.00056900002527982,0.009611999616026878,0.0030330000445246696,0.006372999865561724,6.776899814605713,0.006372999865561724,0.004333000164479017,0.0025679999962449074,0.03327000141143799,0.0025679999962449074,0.0015369999455288053,0.0010710000060498714
/Users/timomiessen/Desktop/imagesdk/nonblackwomen1/NBW_27.jpg,0.0008410000009462237,0.0,0.014534999616444111,0.014534999616444111,0.03596699982881546,0.0023709998931735754,0.0022070000413805246,0.00041199999395757914,0.0006619999767281115,0.0002749999985098839,0.001234999974258244,0.000615999975707382,0.025529999285936356,0.0014990000054240227,8.70000003487803e-05,0.10183300077915192,0.0010890000266954303,0.00047400000039488077,0.0006210000137798488,0.009045000188052654,0.00038499999209307134,0.006672999821603298,0.025529999285936356,0.004333000164479017,0.0022350000217556953,0.006672999821603298,0.0013790000230073929,0.042899999767541885,0.0022410000674426556,0.001234999974258244,0.18404999375343323,0.0022350000217556953,0.00037900000461377203,0.013520999811589718,0.006500000134110451,0.0012750000460073352,0.18404999375343323,0.0012750000460073352,0.0010260000126436353,0.009045000188052654,0.0023709998931735754,0.0003209999995306134,0.00030700000934302807,0.0019120000069960952
/Users/timomiessen/Desktop/imagesdk/nonblackwomen1/NBW_33.jpg,0.000534999999217689,0.00011500000255182385,0.011921999976038933,0.011921999976038933,0.049400001764297485,0.0051739998161792755,0.006821000017225742,0.0023360000923275948,0.005960999988019466,0.0016530000139027834,0.005960999988019466,0.02433600090444088,0.18522599339485168,0.00018699999782256782,0.0006079999729990959,1.8932329416275024,9.100000170292333e-05,0.06428799778223038,0.0024840000551193953,0.001892999978736043,0.0065379999577999115,0.0575219988822937,0.10901200026273727,0.011699999682605267,0.0416640006005764,0.0575219988822937,0.14568999409675598,0.032499998807907104,0.004002000205218792,0.0006169999833218753,74.84241485595703,0.0416640006005764,0.002274000085890293,0.18522599339485168,0.0004330000083427876,0.018693000078201294,74.84241485595703,0.018693000078201294,0.0031930000986903906,0.004494000226259232,0.02433600090444088,0.004494000226259232,0.001998000079765916,0.004970999900251627
/Users/timomiessen/Desktop/imagesdk/nonblackwomen1/NBW_264.jpg,0.01422400027513504,0.00011500000255182385,0.009429000318050385,0.008166000247001648,0.024700000882148743,0.0003229999856557697,0.009429000318050385,0.01126800011843443,0.002460000105202198,0.0011020000092685223,0.01126800011843443,0.05175400152802467,0.05904800072312355,0.00018699999782256782,8.70000003487803e-05,8.26063346862793,0.00036299999919719994,0.0064050001092255116,0.0024840000551193953,0.0010519999777898192,0.0030769999139010906,0.0012649999698624015,0.05904800072312355,0.026433000341057777,0.002056000055745244,0.0012649999698624015,0.03241400048136711,0.0017330000409856439,0.0017610000213608146,8.800000068731606e-05,85.241943359375,0.002056000055745244,0.0013269999762997031,0.03372199833393097,0.0013000000035390258,0.018268000334501266,85.241943359375,0.018268000334501266,0.0038769999518990517,0.0025679999962449074,0.05175400152802467,0.0025679999962449074,0.0021510000806301832,0.00045900000259280205
/Users/timomiessen/Desktop/imagesdk/nonblackwomen1/NBW_106.jpg,0.00022899999748915434,0.0,0.0031030001118779182,0.0031030001118779182,0.0021669999696314335,0.0004309999931138009,0.0010029999539256096,0.000686999992467463,0.00037799999699927866,0.000826000003144145,0.000826000003144145,0.006777000147849321,0.013194999657571316,0.000375000003259629,8.70000003487803e-05,0.0017330000409856439,0.0,0.0014230000087991357,0.0010349999647587538,0.0016830000095069408,0.000577000027988106,0.000805000017862767,0.009084000252187252,0.0017330000409856439,0.0006259999936446548,0.000805000017862767,0.0010339999571442604,0.0030330000445246696,0.002400999888777733,8.800000068731606e-05,0.007921000011265278,0.0006259999936446548,0.00056900002527982,0.013194999657571316,0.0,0.0033990000374615192,0.007921000011265278,0.0033990000374615192,0.0004560000088531524,0.002400999888777733,0.006777000147849321,0.0011230000527575612,0.0006150000263005495,0.00015300000086426735
/Users/timomiessen/Desktop/imagesdk/nonblackwomen1/NBW_112.jpg,0.0006120000034570694,0.00011500000255182385,0.010615999810397625,0.010615999810397625,0.0030330000445246696,0.0004309999931138009,0.0022070000413805246,0.0002749999985098839,0.0007570000016130507,0.0,0.0007570000016130507,0.003696999978274107,0.008457999676465988,0.00018699999782256782,0.0,0.15513299405574799,9.100000170292333e-05,0.0011859999503940344,0.0,0.0012619999470189214,0.0,0.0009200000204145908,0.008457999676465988,0.0017330000409856439,0.0013409999664872885,0.0009200000204145908,0.0013790000230073929,0.005200000014156103,0.0022410000674426556,8.800000068731606e-05,0.15422900021076202,0.0013409999664872885,0.0,0.0032579998951405287,0.0017330000409856439,0.0004250000056345016,0.15513299405574799,0.0004560000088531524,0.0004560000088531524,0.0022410000674426556,0.003696999978274107,0.00015999999595806003,0.0001539999939268455,0.00022899999748915434
/Users/timomiessen/Desktop/imagesdk/nonblackwomen1/NBW_338.jpg,0.015065000392496586,0.002526999916881323,0.021265000104904175,0.02090499922633171,0.06976699829101562,0.006035999860614538,0.021265000104904175,0.04012700170278549,0.010502000339329243,0.004958000034093857,0.04012700170278549,0.1872989982366562,4.7423930168151855,0.003745999885722995,0.0002610000083222985,77.4310073852539,0.00018200000340584666,0.5660219788551331,0.04616200178861618,0.025662999600172043,0.00923100020736456,0.002761000068858266,0.17965100705623627,0.02556700073182583,0.015289000235497952,0.002761000068858266,0.4606899917125702,0.10313300043344498,0.005603000055998564,0.00044100001105107367,97.85330963134766,0.015289000235497952,0.00056900002527982,4.7423930168151855,0.1707330048084259,0.018268000334501266,97.85330963134766,0.018268000334501266,0.004333000164479017,0.025662999600172043,0.1872989982366562,0.019259000197052956,0.016749000176787376,0.0017590000061318278
